Time (UTCG),Lat (deg),Lon (deg),Alt (km),RSheath (Ohm),FRC (Hz),GDC,GAC,V_I0 (volt)
Jan 01 2015 00:01:27.000000000,-82.69809858,103.8217852,2997.193955,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:28.000000000,-82.73093165,103.9342377,2997.125206,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:29.000000000,-82.76373511,104.0477439,2997.055619,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:30.000000000,-82.79650856,104.1623175,2996.985196,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:31.000000000,-82.82925158,104.2779721,2996.913936,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:32.000000000,-82.86196375,104.3947215,2996.841838,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:33.000000000,-82.89464464,104.5125798,2996.768904,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:34.000000000,-82.92729383,104.6315615,2996.695132,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:35.000000000,-82.95991086,104.7516809,2996.620524,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:36.000000000,-82.99249528,104.872953,2996.545078,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:37.000000000,-83.02504663,104.9953927,2996.468796,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:38.000000000,-83.05756445,105.1190152,2996.391676,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:39.000000000,-83.09004826,105.2438361,2996.31372,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:40.000000000,-83.12249758,105.36987109999998,2996.234926,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:41.000000000,-83.1549119,105.4971361,2996.155296,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:42.000000000,-83.18729074,105.62564740000002,2996.0748280000007,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:43.000000000,-83.21963356,105.7554216,2995.993524,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:44.000000000,-83.25193987,105.8864753,2995.911383,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:45.000000000,-83.28420911,106.0188256,2995.828405,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:46.000000000,-83.31644076,106.1524898,2995.74459,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:47.000000000,-83.34863427,106.2874855,2995.659938,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:48.000000000,-83.38078906,106.4238304,2995.57445,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:49.000000000,-83.41290457,106.5615429,2995.488124,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:50.000000000,-83.44498022,106.7006412,2995.400962,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:51.000000000,-83.47701542,106.8411442,2995.312963,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:52.000000000,-83.50900956,106.9830708,2995.224127,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:53.000000000,-83.54096202,107.1264404,2995.134454,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:54.000000000,-83.57287219,107.2712726,2995.043945,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:55.000000000,-83.60473941,107.4175874,2994.952599,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:56.000000000,-83.63656304,107.5654051,2994.860416,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:57.000000000,-83.66834242,107.7147462,2994.767397,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:58.000000000,-83.70007687,107.8656317,2994.673541,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:01:59.000000000,-83.7317657,108.0180829,2994.578848,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:00.000000000,-83.76340821,108.1721214,2994.483318,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:01.000000000,-83.79500369,108.32776909999998,2994.386952,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:02.000000000,-83.82655141,108.4850483,2994.28975,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:03.000000000,-83.85805061,108.6439818,2994.19171,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:04.000000000,-83.88950056,108.80459240000002,2994.092835,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:05.000000000,-83.92090046,108.9669038,2993.993122,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:06.000000000,-83.95224955,109.1309395,2993.892573,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:07.000000000,-83.98354701,109.2967238,2993.791188,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:08.000000000,-84.01479203,109.4642812,2993.688966,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:09.000000000,-84.04598377,109.6336366,2993.585907,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:10.000000000,-84.07712138,109.8048153,2993.482013,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:11.000000000,-84.108204,109.9778432,2993.377281,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:12.000000000,-84.13923075,110.1527462,2993.271713,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:13.000000000,-84.17020072,110.329551,2993.165309,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:14.000000000,-84.20111299,110.5082844,2993.058069,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:15.000000000,-84.23196662,110.688974,2992.9499920000007,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:16.000000000,-84.26276067,110.8716475,2992.841079,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:17.000000000,-84.29349415,111.0563332,2992.731329,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:18.000000000,-84.32416608,111.2430597,2992.6207440000007,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:19.000000000,-84.35477544,111.4318562,2992.509321,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:20.000000000,-84.38532119,111.6227524,2992.397063,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:21.000000000,-84.41580228,111.8157782,2992.283969,0.0,0.0,0.0,0.0,0.0
