Epoch(UTCG),Lat_GEOD(deg),Lon_GEOD(deg),Height_WGS84 (km),B_Tesla,Bx_Tesla,By_Tesla,Bz_Tesla
Jan 01 2015 01:02:21.000000000,82.14513327,42.35093612,178.215655,5.218531775618628e-05,2.0130051055677503e-06,4.15462522131498e-06,-5.198071073994182e-05
Jan 01 2015 01:02:22.000000000,82.07700402,42.54994365,178.5972171,5.217901956903818e-05,2.02722830419938e-06,4.168504143969019e-06,-5.1972723632598236e-05
Jan 01 2015 01:02:23.000000000,82.0087858,42.74548352,178.9803322,5.217270482240085e-05,2.041275802703095e-06,4.182496883058971e-06,-5.196470957684522e-05
Jan 01 2015 01:02:24.000000000,81.94048115,42.93763958,179.3649995,5.2166373056533996e-05,2.0551512291510216e-06,4.196602896449292e-06,-5.1956668055489355e-05
Jan 01 2015 01:02:25.000000000,81.87209248,43.12649314,179.75121819999998,5.216002380782826e-05,2.0688580994819363e-06,4.2108216499173634e-06,-5.194859854538914e-05
Jan 01 2015 01:02:26.000000000,81.80362217,43.31212309,180.1389875,5.2153656615179004e-05,2.0823998106910545e-06,4.2251525817906295e-06,-5.1940500527267034e-05
Jan 01 2015 01:02:27.000000000,81.73507249,43.49460599,180.52830669999997,5.214727101356025e-05,2.0957796551441586e-06,4.239595133975933e-06,-5.1932373476462176e-05
Jan 01 2015 01:02:28.000000000,81.66644565,43.6740161,180.9191749,5.2140866541558824e-05,2.1090008176966066e-06,4.25414873929998e-06,-5.192421687189434e-05
Jan 01 2015 01:02:29.000000000,81.59774381,43.85042552,181.3115914,5.213444273504857e-05,2.1220663795914273e-06,4.268812816175269e-06,-5.191603019025168e-05
Jan 01 2015 01:02:30.000000000,81.52896904,44.023904200000004,181.70555530000001,5.21279991316207e-05,2.1349793262528818e-06,4.2835867891661084e-06,-5.190781290867881e-05
Jan 01 2015 01:02:31.000000000,81.46012334,44.19452008,182.1010659,5.212153526510295e-05,2.1477425497533154e-06,4.298470079370343e-06,-5.189956450017772e-05
Jan 01 2015 01:02:32.000000000,81.39120868,44.36233911,182.49812240000003,5.211505067238203e-05,2.1603588467302433e-06,4.313462094870503e-06,-5.189128444155547e-05
Jan 01 2015 01:02:33.000000000,81.32222694,44.52742534,182.8967239,5.210854489106939e-05,2.1728309299906534e-06,4.3285622527559644e-06,-5.1882972208984774e-05
Jan 01 2015 01:02:34.000000000,81.25317996,44.68984096,183.2968697,5.210201745465255e-05,2.185161424277827e-06,4.343769963560142e-06,-5.187462727479051e-05
