Epoch(UTCG),Lat_GEOD(deg),Lon_GEOD(deg),Height_WGS84 (km),ne_iri16_cm-3,Te_iri16_K,Ti_iri16_K,O+_iri16_cm-3,O2+_iri16_cm-3,NO+_iri16_cm-3
Jan 01 2015 00:55:29.000000000,66.44722262,253.10826260000002,158.6177265,2237.398272,851.135986328125,753.689453125,13.654979,124.669544,2098.924416
Jan 01 2015 00:55:30.000000000,66.52074195,253.12829530000002,158.32903340000001,2209.155328,847.5079956054688,752.0869140625,13.097909,122.249256,2073.664128
Jan 01 2015 00:55:31.000000000,66.5942634,253.1484735,158.0419494,2181.280512,843.895751953125,750.4815063476562,12.563878,119.878944,2048.698752
Jan 01 2015 00:55:32.000000000,66.6677869,253.16879849999998,157.7564751,2153.739264,840.2993774414062,748.8734130859375,12.05163,117.554728,2023.999104
Jan 01 2015 00:55:33.000000000,66.74131239,253.18927169999998,157.472611,2126.496128,836.7198486328125,747.2628173828125,11.559938,115.272248,1999.534592
Jan 01 2015 00:55:34.000000000,66.81483979,253.2098946,157.1903576,2099.519488,833.1566162109375,745.6495971679688,11.087686,113.028048,1975.278848
Jan 01 2015 00:55:35.000000000,66.88836902,253.2306685,156.9097155,2072.801792,829.6104736328125,744.0341186523438,10.634069,110.820776,1951.226368
Jan 01 2015 00:55:36.000000000,66.96190002,253.251595,156.6306851,2046.31104,826.0812377929688,742.4163208007812,10.19809,108.646984,1927.349632
Jan 01 2015 00:55:37.000000000,67.03543271,253.27267540000003,156.353267,2020.035584,822.5693359375,740.79638671875,9.778981,106.50524,1903.639424
Jan 01 2015 00:55:38.000000000,67.10896702,253.29391119999997,156.0774617,1993.963776,819.0748291015625,739.1742553710938,9.376036,104.394152,1880.085504
Jan 01 2015 00:55:39.000000000,67.18250288,253.315304,155.8032697,1968.078848,815.597900390625,737.5501708984375,8.988506,102.311768,1856.67456
Jan 01 2015 00:55:40.000000000,67.2560402,253.3368554,155.53069150000002,1942.391424,812.1387329101562,735.9241943359375,8.615957,100.259096,1833.415936
Jan 01 2015 00:55:41.000000000,67.32957892,253.35856669999998,155.2597276,1916.881536,808.6976928710938,734.2965087890625,8.2576755,98.233856,1810.293376
Jan 01 2015 00:55:42.000000000,67.40311896,253.38043959999996,154.99037859999999,1891.555584,805.2747192382812,732.6671142578125,7.913194,96.236488,1787.312768
Jan 01 2015 00:55:43.000000000,67.47666024,253.40247569999997,154.7226448,1866.409344,801.8699340820312,731.0361328125,7.582,94.266568,1764.471168
Jan 01 2015 00:55:44.000000000,67.55020268,253.42467659999997,154.4565269,1841.451648,798.48388671875,729.40380859375,7.2636885,92.324624,1741.776896
Jan 01 2015 00:55:45.000000000,67.62374622,253.44704380000002,154.1920253,1816.673536,795.1162719726562,727.7701416015625,6.9577205,90.40968,1719.222784
Jan 01 2015 00:55:46.000000000,67.69729076,253.46957909999998,153.92914050000002,1792.096896,791.7670288085938,726.1351318359375,6.663816,88.523744,1696.829312
Jan 01 2015 00:55:47.000000000,67.77083623,253.4922841,153.6678729,1767.712128,788.4368286132812,724.4991455078125,6.3819055,86.550888,1674.702336
Jan 01 2015 00:55:48.000000000,67.84438255,253.5151605,153.4082231,1743.527808,785.1251831054688,722.862060546875,6.111599,84.161384,1653.180672
Jan 01 2015 00:55:49.000000000,67.91792965,253.53821000000002,153.1501916,1719.553152,781.8330688476562,721.2242431640625,5.8520655,81.821496,1631.808128
Jan 01 2015 00:55:50.000000000,67.99147744,253.56143430000003,152.89377869999998,1695.7952,778.5596313476562,719.585693359375,5.602941,79.531432,1610.592128
Jan 01 2015 00:55:51.000000000,68.06502583,253.5848353,152.6389851,1672.256896,775.3056030273438,717.9463500976562,5.3638565,77.290992,1589.536
Jan 01 2015 00:55:52.000000000,68.13857476,253.60841459999997,152.3858111,1648.957952,772.0706787109375,716.306640625,5.134559,75.101496,1568.658304
Jan 01 2015 00:55:53.000000000,68.21212413,253.6321741,152.13425719999998,1625.891456,768.855224609375,714.6663818359375,4.9146235,72.961728,1547.954048
Jan 01 2015 00:55:54.000000000,68.28567386,253.6561156,151.8843239,1603.070208,765.658935546875,713.0259399414062,4.7037745,70.872256,1527.435392
Jan 01 2015 00:55:55.000000000,68.35922388,253.6802409,151.6360116,1580.507264,762.4825439453125,711.385498046875,4.501742,68.833576,1507.11552
Jan 01 2015 00:55:56.000000000,68.43277408,253.704552,151.3893209,1558.210304,759.3257446289062,709.744873046875,4.308209,66.845572,1487.002112
Jan 01 2015 00:55:57.000000000,68.50632440000001,253.7290507,151.1442521,1536.178944,756.1884155273438,708.1043701171875,4.122847,64.90754,1467.096192
Jan 01 2015 00:55:58.000000000,68.57987474,253.75373900000002,150.90080569999998,1514.421632,753.0709228515625,706.4639892578125,3.9453705,63.019464,1447.406464
Jan 01 2015 00:55:59.000000000,68.65342501,253.7786188,150.6589821,1492.949888,749.9733276367188,704.8242797851562,3.77552625,61.181424,1427.944704
Jan 01 2015 00:56:00.000000000,68.72697514,253.8036921,150.41878180000003,1462.64,746.6998901367188,703.0673828125,3.57095425,58.692516,1400.33088
Jan 01 2015 00:56:01.000000000,68.80052503,253.82896090000003,150.1802053,1441.867008,743.643798828125,701.4295654296875,3.41724025,56.972124,1381.433472
Jan 01 2015 00:56:02.000000000,68.87407459,253.8544273,149.943253,1421.400704,740.6077270507812,699.7926025390625,3.27028925,55.300512,1362.787712
Jan 01 2015 00:56:03.000000000,68.94762373,253.88009330000003,149.70792519999998,1401.239296,737.5918579101562,698.1565551757812,3.12981825,53.676676,1344.392192
Jan 01 2015 00:56:04.000000000,69.02117237,253.905961,149.4742225,1381.39648,734.5956420898438,696.5214233398438,2.99561575,52.10074,1326.260992
Jan 01 2015 00:56:05.000000000,69.09472041,253.93203250000002,149.24214519999998,1361.865728,731.6195678710938,694.887451171875,2.86738275,50.571252,1308.389504
Jan 01 2015 00:56:06.000000000,69.16826775,253.95831,149.01169380000002,1342.659072,728.6637573242188,693.2548828125,2.74492475,49.088184,1290.789888
Jan 01 2015 00:56:07.000000000,69.24181432,253.9847957,148.7828687,1323.781888,725.72802734375,691.623779296875,2.628014,47.650936,1273.46816
Jan 01 2015 00:56:08.000000000,69.31536001,254.0114917,148.55567040000003,1305.226624,722.8123168945312,689.994140625,2.516385,46.258024,1256.418816
Jan 01 2015 00:56:09.000000000,69.38890472,254.03840040000003,148.33009919999998,1287.00544,719.9168701171875,688.366455078125,2.40985425,44.909308,1239.654144
Jan 01 2015 00:56:10.000000000,69.46244837,254.06552390000002,148.1061555,1269.115904,717.0421142578125,686.7406005859375,2.308196,43.603672,1223.173248
Jan 01 2015 00:56:11.000000000,69.53599086,254.09286469999998,147.8838398,1251.561216,714.1871948242188,685.11669921875,2.211206,42.340384,1206.979712
Jan 01 2015 00:56:12.000000000,69.60953209,254.120425,147.6631524,1234.336768,711.3528442382812,683.4949340820312,2.1186685,41.118164,1191.071488
Jan 01 2015 00:56:13.000000000,69.68307196,254.14820719999997,147.44409380000002,1217.45152,708.5390014648438,681.8756103515625,2.030415625,39.936616,1175.457024
